"","address","price","rooms","lat","lng"
"1","189 Saint Botolph St, Boston, MA",1625,"1",42.3429645,-71.0835235
"2","Albemarle Ct, Boston, MA",2400,"1",42.243001,-71.1329538
"3","Clearway St, Boston, MA",1700,"1",42.3453309,-71.0859871
"4","Norway St, Boston, MA",1800,"1",42.3451617,-71.087866
"5","121 Saint Botolph St APT 003, Boston, MA",2900,"1",42.3443111,-71.0817551
"6","Burbank St, Boston, MA",1700,"1",42.3443546,-71.0880783
"7","362 Marlborough St UNIT 1, Boston, MA",1900,"1",42.350544,-71.086365
"8","298 Commonwealth Ave # 222102, Boston, MA",2750,"1",42.3496664,-71.0851326
"9","8 Gloucester St APT 2, Boston, MA",3800,"2",42.351281,-71.0852784
"10","Saint Botolph St, Boston, MA",3600,"3",42.3430431,-71.0830546
"11","Saint Botolph St, Boston, MA",2000,"1",42.3430431,-71.0830546
"12","Dalton St, Boston, MA",4680,"2",42.3467433,-71.0850241
"13","394 Marlborough St APT 2, Boston, MA",1950,"1",42.3501997,-71.0879564
"14","Hemenway St, Boston, MA",5200,"4",42.3431955,-71.0901087
"15","Westland Ave, Boston, MA",3900,"3",42.34364,-71.0878594
"16","Westland Ave, Boston, MA",2600,"1",42.34364,-71.0878594
"17","Huntington Ave, Boston, MA",3600,"4",42.3384957,-71.0938271
"18","Edgerly Rd, Boston, MA",4900,"4",42.3450974,-71.0875452
"19","Westland Ave, Boston, MA",2100,"1",42.34364,-71.0878594
"20","Westland Ave, Boston, MA",3800,"3",42.34364,-71.0878594
"21","404 Marlborough St APT 2, Boston, MA",2950,"1",42.3500065,-71.0883326
"22","Gainsborough St, Boston, MA",5800,"4",42.3417354,-71.0869126
"23","76 Gainsborough St UNIT 44, Boston, MA",250,"1",42.3421022,-71.0874603
"24","11 Blackwood St # A, Boston, MA",3400,"2",42.3426931,-71.0823707
"25","50 Saint Stephen St APT 8, Boston, MA",3300,"2",42.342096,-71.0869258
"26","Gainsborough St, Boston, MA",2950,"2",42.3417354,-71.0869126
"27","Hemenway St, Boston, MA",5700,"4",42.3431955,-71.0901087
"28","Symphony Rd, Boston, MA",2700,"2",42.343131,-71.0894669
"29","Symphony Rd, Boston, MA",1950,"1",42.343131,-71.0894669
"30","Symphony Rd, Boston, MA",1950,"1",42.343131,-71.0894669
"31","381 Commonwealth Ave APT 3L, Boston, MA",1795,"1",42.3494436,-71.0896767
"32","Marlborough St, Boston, MA",2300,"1",42.3522798,-71.0808696
"33","380 Riverway APT A, Boston, MA",1900,"1",42.3329335,-71.1120224
"34","14 Stoneholm St # 518, Boston, MA",2400,"1",42.3457303,-71.0884637
"35","138 Hemenway St # 10B, Boston, MA",2450,"2",42.342116,-71.0904354
"36","127 Saint Botolph St APT 06, Boston, MA",2800,"1",42.3441962,-71.0820183
"37","Hemenway St, Boston, MA",5800,"4",42.3431955,-71.0901087
"38","Saint Stephen St, Boston, MA",1750,"1",42.3420086,-71.087324
"39","Gainsborough St, Boston, MA",3800,"2",42.3417354,-71.0869126
"40","133 Saint Botolph St APT 3, Boston, MA",2600,"1",42.3439265,-71.082148
"41","Westland Ave, Boston, MA",3600,"3",42.34364,-71.0878594
"42","477 Beacon St APT 5, Boston, MA",3550,"2",42.3508259,-71.088828
"43","55 Hemenway St, Boston, MA",2050,"1",42.3450569,-71.0898364
"44","Stoneholm St, Boston, MA",2300,"1",42.3457209,-71.0884918
"45","Saint Botolph St, Boston, MA",2495,"1",42.3430431,-71.0830546
"46","Marlborough St, Boston, MA",1695,"1",42.3522798,-71.0808696
"47","Marlborough St, Boston, MA",3150,"2",42.3522798,-71.0808696
"48","170 Saint Botolph St APT 4, Boston, MA",2400,"1",42.342734,-71.0830749
"49","Blackwood St, Boston, MA",1800,"1",42.3430046,-71.0824988
"50","Gainsborough St, Boston, MA",3200,"2",42.3417354,-71.0869126
"51","Gainsborough St, Boston, MA",2300,"1",42.3417354,-71.0869126
"52","Gainsborough St, Boston, MA",3300,"2",42.3417354,-71.0869126
"53","Edgerly Rd, Boston, MA",1300,"1",42.3450974,-71.0875452
"54","181 Saint Botolph St APT 1, Boston, MA",2600,"1",42.3430984,-71.0832113
"55","Westland Ave, Boston, MA",2250,"1",42.34364,-71.0878594
"56","Westland Ave, Boston, MA",4750,"4",42.34364,-71.0878594
"57","Westland Ave, Boston, MA",1650,"1",42.34364,-71.0878594
"58","Albemarle Ct, Boston, MA",2300,"1",42.243001,-71.1329538
"59","5 Albemarle St, Boston, MA",2400,"1",42.342646,-71.0833943
"60","Saint Germain St, Boston, MA",2750,"1",42.3458082,-71.0862126
"61","Blackwood St, Boston, MA",2300,"1",42.3430046,-71.0824988
"62","Hemenway St, Boston, MA",1725,"1",42.3431955,-71.0901087
"63","Commonwealth Ave, Boston, MA",1925,"1",42.3399704,-71.1670299
"64","Symphony Rd, Boston, MA",1950,"1",42.343131,-71.0894669
"65","Gainsborough St, Boston, MA",2200,"1",42.3417354,-71.0869126
"66","421 Marlborough St, Boston, MA",3450,"2",42.3501564,-71.0894821
"67","Riverway, Boston, MA",1795,"1",42.3365012,-71.1101831
"68","Gainsborough St, Boston, MA",2200,"1",42.3417354,-71.0869126
"69","Hemenway St, Boston, MA",1675,"1",42.3431955,-71.0901087
"70","Westland Ave, Boston, MA",4050,"3",42.34364,-71.0878594
"71","Westland Ave, Boston, MA",3600,"2",42.34364,-71.0878594
"72","Vining St, Boston, MA",3200,"1",42.3353386,-71.1080135
"73","Massachusetts Ave, Boston, MA",3150,"1",42.4014728,-71.1370383
"74","Fenwood Rd, Boston, MA",3230,"2",42.3348899,-71.1073215
"75","Palace Rd, Boston, MA",2150,"1",42.3377253,-71.0998435
"76","163 Hemenway St # 11A, Boston, MA",2700,"2",42.3415658,-71.0910395
"77","Massachusetts Ave, Boston, MA",3175,"1",42.4014728,-71.1370383
"78","483 Beacon St APT 57, Boston, MA",2300,"1",42.350837,-71.089246
"79","Beacon St, Boston, MA",1725,"1",42.3459906,-71.1068376
"80","Gainsborough St, Boston, MA",3200,"2",42.3417354,-71.0869126
"81","Gainsborough St, Boston, MA",3100,"2",42.3417354,-71.0869126
"82","Gainsborough St, Boston, MA",3200,"2",42.3417354,-71.0869126
"83","Symphony Rd, Boston, MA",4100,"3",42.343131,-71.0894669
"84","Gainsborough St, Boston, MA",3500,"2",42.3417354,-71.0869126
"85","Blackwood St, Boston, MA",2300,"1",42.3430046,-71.0824988
"86","Marlborough St, Boston, MA",2800,"2",42.3522798,-71.0808696
"87","Symphony Rd, Boston, MA",1500,"1",42.343131,-71.0894669
"88","Saint Botolph St, Boston, MA",2495,"1",42.3430431,-71.0830546
"89","Westland Ave, Boston, MA",1750,"1",42.34364,-71.0878594
"90","Saint Botolph St, Boston, MA",2900,"1",42.3430431,-71.0830546
"91","20 Saint Albans Rd # 282, Boston, MA",5500,"5",42.33404,-71.106805
"92","49 Massachusetts Ave, Boston, MA",2250,"1",42.34976,-71.089292
"93","379 Marlborough St APT 2, Boston, MA",1700,"1",42.350685,-71.087547
"94","Blackwood St, Boston, MA",2350,"1",42.3430046,-71.0824988
"95","Blackwood St, Boston, MA",2300,"1",42.3430046,-71.0824988
"96","Westland Ave, Boston, MA",2550,"1",42.34364,-71.0878594
"97","Park Dr, Boston, MA",3600,"3",42.342905,-71.1022129
"98","Gainsborough St, Boston, MA",2200,"1",42.3417354,-71.0869126
"99","483 Beacon St PH 5, Boston, MA",3400,"2",42.3445785,-71.1110615
"100","Clearway St, Boston, MA",2050,"1",42.3453309,-71.0859871
"101","Riverway, Boston, MA",1750,"1",42.3365012,-71.1101831
"102","Clearway St, Boston, MA",2675,"2",42.3453309,-71.0859871
"103","Clearway St, Boston, MA",4050,"1",42.3453309,-71.0859871
"104","Clearway St, Boston, MA",4050,"3",42.3453309,-71.0859871
"105","Blackwood St, Boston, MA",2350,"1",42.3430046,-71.0824988
"106","43 Westland Ave # 3, Boston, MA",3250,"1",42.3438961,-71.0879857
"107","Blackwood St, Boston, MA",1800,"1",42.3430046,-71.0824988
"108","Francis St, Boston, MA",2779,"1",42.335804,-71.1074119
"109","Edgerly Rd, Boston, MA",2800,"1",42.3450974,-71.0875452
"110","Boylston St, Boston, MA",2200,"1",42.3486464,-71.0827003
"111","142 Saint Botolph St # 13, Boston, MA",2200,"1",42.3434853,-71.0823513
"112","173 Hemenway St # B, Boston, MA",3700,"3",42.3406302,-71.0913616
"113","Hemenway St, Boston, MA",1850,"1",42.3431955,-71.0901087
"114","48 Westland Ave # 27, Boston, MA",1850,"1",42.3436534,-71.0879461
"115","873 Huntington Ave, Boston, MA",1595,"1",42.333019,-71.111071
"116","Gainsborough St, Boston, MA",3200,"2",42.3417354,-71.0869126
"117","Gainsborough St, Boston, MA",3250,"2",42.3417354,-71.0869126
"118","Beacon St, Boston, MA",3300,"2",42.3459906,-71.1068376
"119","Blackwood St, Boston, MA",2350,"1",42.3430046,-71.0824988
"120","Blackwood St, Boston, MA",2200,"1",42.3430046,-71.0824988
"121","Blackwood St, Boston, MA",1950,"1",42.3430046,-71.0824988
"122","Blackwood St, Boston, MA",2000,"1",42.3430046,-71.0824988
"123","Blackwood St, Boston, MA",3050,"2",42.3430046,-71.0824988
"124","Blackwood St, Boston, MA",1950,"1",42.3430046,-71.0824988
"125","Blackwood St, Boston, MA",2350,"1",42.3430046,-71.0824988
"126","Westland Ave, Boston, MA",3800,"3",42.34364,-71.0878594
"127","Saint Germain St, Boston, MA",2750,"1",42.3458082,-71.0862126
"128","Saint Stephen St, Boston, MA",2300,"1",42.3420086,-71.087324
"129","65 Hemenway St APT 8, Boston, MA",3150,"2",42.3448004,-71.0899307
"130","Newbury St, Boston, MA",2050,"1",42.3491606,-71.0841329
"131","Saint Botolph St, Boston, MA",3025,"1",42.3430431,-71.0830546
"132","Gainsborough St, Boston, MA",3100,"2",42.3417354,-71.0869126
"133","13 Symphony Rd APT 2B, Boston, MA",3900,"3",42.3429298,-71.0872309
"134","73 Gainsborough St # 1BB, Boston, MA",8000,"5",42.3423996,-71.0877207
"135","82 Fenway # 54B, Boston, MA",5100,"4",42.3423689,-71.0915408
"136","479 Beacon St APT 12, Boston, MA",2850,"2",42.3508194,-71.0889279
"137","389 Marlborough St # 8, Boston, MA",2000,"1",42.35061,-71.087969
"138","Gainsborough St, Boston, MA",2400,"1",42.3417354,-71.0869126
"139","360 Newbury St UNIT 405, Boston, MA",6000,"2",42.3480898,-71.0877173
"140","Shepherd Ave, Boston, MA",950,"1",42.3327113,-71.109062
"141","Gainsborough St, Boston, MA",2200,"1",42.3417354,-71.0869126
"142","Gainsborough St, Boston, MA",3500,"2",42.3417354,-71.0869126
"143","Westland Ave, Boston, MA",3150,"2",42.34364,-71.0878594
"144","302 Newbury St, Boston, MA",1695,"1",42.3486991,-71.0850272
"145","68 Hemenway St # 8, Boston, MA",3150,"2",42.3446224,-71.0897164
"146","70 Westland Ave, Boston, MA",1950,"1",42.3435929,-71.0890941
"147","Saint Botolph St, Boston, MA",2000,"1",42.3430431,-71.0830546
"148","Saint Stephen St, Boston, MA",2800,"1",42.3420086,-71.087324
"149","Saint Stephen St, Boston, MA",1700,"1",42.3420086,-71.087324
"150","Gainsborough St, Boston, MA",3300,"2",42.3417354,-71.0869126
"151","Marlborough St, Boston, MA",2000,"1",42.3522798,-71.0808696
"152","416 Marlborough St APT 604, Boston, MA",3250,"1",42.3501187,-71.0888588
"153","293 Commonwealth Ave APT 2F, Boston, MA",3200,"1",42.350091,-71.0855355
"154","34 Edgerly Rd # 101, Boston, MA",2800,"2",42.345492,-71.087597
"155","Saint Botolph St, Boston, MA",3025,"1",42.3430431,-71.0830546
"156","Saint Botolph St, Boston, MA",2900,"1",42.3430431,-71.0830546
"157","Saint Botolph St, Boston, MA",3150,"1",42.3430431,-71.0830546
"158","Commonwealth Ave, Boston, MA",2150,"1",42.3399704,-71.1670299
"159","Commonwealth Ave, Boston, MA",1900,"1",42.3399704,-71.1670299
"160","120 Norway St APT 5, Boston, MA",2500,"1",42.345305,-71.088764
"161","439 Marlborough St, Boston, MA",2050,"1",42.3498126,-71.0900977
"162","Parker St, Boston, MA",3600,"3",42.3314645,-71.0973132
"163","Gainsborough St, Boston, MA",2750,"2",42.3417354,-71.0869126
"164","Westland Ave, Boston, MA",3100,"2",42.34364,-71.0878594
"165","Clearway St, Boston, MA",2050,"1",42.3453309,-71.0859871
"166","203 Saint Botolph St APT 2, Boston, MA",3700,"2",42.3426094,-71.0838107
"167","Burbank St, Boston, MA",2650,"2",42.3443546,-71.0880783
"168","Symphony Rd, Boston, MA",1700,"1",42.343131,-71.0894669
"169","Gainsborough St, Boston, MA",3000,"2",42.3417354,-71.0869126
"170","Blackwood St, Boston, MA",2350,"1",42.3430046,-71.0824988
"171","Symphony Rd, Boston, MA",4100,"3",42.343131,-71.0894669
"172","16 Hereford St # 13, Boston, MA",3300,"2",42.351053,-71.08655
"173","Hemenway St, Boston, MA",2750,"2",42.3431955,-71.0901087
"174","Hemenway St, Boston, MA",3050,"2",42.3431955,-71.0901087
"175","Gainsborough St, Boston, MA",3000,"2",42.3417354,-71.0869126
"176","Gainsborough St, Boston, MA",2900,"2",42.3417354,-71.0869126
"177","Burbank St, Boston, MA",2600,"2",42.3443546,-71.0880783
"178","Gainsborough St, Boston, MA",2200,"1",42.3417354,-71.0869126
"179","Symphony Rd, Boston, MA",2000,"1",42.343131,-71.0894669
"180","Westland Ave, Boston, MA",4050,"3",42.34364,-71.0878594
"181","Westland Ave, Boston, MA",1950,"1",42.34364,-71.0878594
"182","Westland Ave, Boston, MA",1950,"1",42.34364,-71.0878594
"183","Symphony Rd, Boston, MA",1700,"1",42.343131,-71.0894669
"184","Burbank St, Boston, MA",1825,"1",42.3443546,-71.0880783
"185","Symphony Rd, Boston, MA",2800,"2",42.343131,-71.0894669
"186","411 Marlborough St APT 3, Boston, MA",3850,"2",42.3503627,-71.0889883
"187","Hemenway St, Boston, MA",2750,"2",42.3431955,-71.0901087
"188","Westland Ave, Boston, MA",3950,"3",42.34364,-71.0878594
"189","86 Saint Stephen St UNIT 1, Boston, MA",6500,"5",42.3413965,-71.0881191
"190","Cumberland St, Boston, MA",3000,"2",42.3437519,-71.0821976
"191","Saint Stephen St, Boston, MA",3300,"2",42.3420086,-71.087324
"192","416 Marlborough St # 7, Boston, MA",4200,"2",42.3501187,-71.0888588
"193","Saint Albans Rd, Boston, MA",4850,"4",42.3339598,-71.1070714
"194","Fenway, Boston, MA",5100,"4",42.3428653,-71.1002881
"195","Clearway St, Boston, MA",4050,"3",42.3453309,-71.0859871
"196","Clearway St, Boston, MA",4050,"3",42.3453309,-71.0859871
"197","Boylston St, Boston, MA",2200,"2",42.3486464,-71.0827003
"198","Westland Ave, Boston, MA",1850,"1",42.34364,-71.0878594
"199","Hemenway St, Boston, MA",1400,"1",42.3431955,-71.0901087
"200","Huntington Ave, Boston, MA",2600,"2",42.3384957,-71.0938271
"201","Gloucester St, Boston, MA",4400,"2",42.3503155,-71.0846959
"202","24 Symphony Rd, Boston, MA",5100,"4",42.3427252,-71.0879641
"203","129 Saint Botolph St, Boston, MA",3025,"1",42.3441445,-71.0820791
"204","337 Commonwealth Ave APT 10, Boston, MA",13000,"4",42.3810374,-71.0800593
"205","31 Massachusetts Ave APT 23, Boston, MA",3100,"1",42.3503114,-71.0895966
"206","Newbury St, Boston, MA",2050,"1",42.3491606,-71.0841329
"207","Hereford St, Boston, MA",3300,"1",42.3499074,-71.0862162
"208","Cumberland St, Boston, MA",3100,"2",42.3437519,-71.0821976
"209","Saint Botolph St, Boston, MA",2800,"1",42.3430431,-71.0830546
"210","Cumberland St, Boston, MA",2500,"1",42.3437519,-71.0821976
"211","Hereford St, Boston, MA",2700,"1",42.3499074,-71.0862162
"212","Cumberland St, Boston, MA",1950,"1",42.3437519,-71.0821976
"213","197 Massachusetts Ave, Boston, MA",2855,"1",42.344442,-71.086859
"214","Burbank St, Boston, MA",2650,"1",42.3443546,-71.0880783
"215","Newbury St, Boston, MA",2050,"1",42.3491606,-71.0841329
"216","Burbank St, Boston, MA",3150,"2",42.3443546,-71.0880783
"217","Burbank St, Boston, MA",2150,"1",42.3443546,-71.0880783
"218","Hereford St, Boston, MA",3300,"2",42.3499074,-71.0862162
"219","Clearway St, Boston, MA",4050,"3",42.3453309,-71.0859871
"220","Gainsborough St, Boston, MA",2700,"2",42.3417354,-71.0869126
"221","400 Marlborough St APT 2, Boston, MA",2800,"1",42.3502703,-71.0882913
"222","16 Symphony Rd APT 4, Boston, MA",3800,"3",42.3427164,-71.0877003
"223","89 Westland Ave # 35, Boston, MA",2650,"1",42.3438909,-71.0894812
"224","20 Westland Ave, Boston, MA",3200,"2",42.3434703,-71.0868741
"225","Hereford St, Boston, MA",3250,"2",42.3499074,-71.0862162
"226","Saint Stephen St, Boston, MA",3000,"2",42.3420086,-71.087324
"227","Hemenway St, Boston, MA",3000,"2",42.3431955,-71.0901087
"228","107 Saint Botolph St # 2, Boston, MA",3800,"2",42.3446175,-71.0812982
"229","Westland Ave, Boston, MA",2150,"1",42.34364,-71.0878594
"230","880 Huntington Ave APT 2, Boston, MA",3600,"4",42.3324015,-71.1112912
"231","394 Riverway APT 8, Boston, MA",3200,"3",42.3321398,-71.112353
"232","Saint Botolph St, Boston, MA",3100,"1",42.3430431,-71.0830546
"233","Hemenway St, Boston, MA",2150,"1",42.3431955,-71.0901087
"234","Hereford St, Boston, MA",3250,"2",42.3499074,-71.0862162
"235","Saint Botolph St, Boston, MA",2525,"1",42.3430431,-71.0830546
"236","836 Huntington Ave, Boston, MA",3900,"4",42.3329972,-71.1097104
"237","Fenway, Boston, MA",5800,"4",42.3428653,-71.1002881
"238","Saint Albans Rd, Boston, MA",4850,"4",42.3339598,-71.1070714
"239","Westland Ave, Boston, MA",3150,"2",42.34364,-71.0878594
"240","Symphony Rd, Boston, MA",3900,"3",42.343131,-71.0894669
"241","Westland Ave, Boston, MA",1750,"1",42.34364,-71.0878594
"242","Massachusetts Ave, Boston, MA",1750,"1",42.4014728,-71.1370383
"243","Saint Stephen St, Boston, MA",2800,"2",42.3420086,-71.087324
"244","426 Marlborough St APT 5, Boston, MA",2200,"1",42.349758,-71.089453
"245","Clearway St, Boston, MA",3400,"2",42.3453309,-71.0859871
"246","Hemenway St, Boston, MA",1850,"1",42.3431955,-71.0901087
"247","40 Westland Ave # 21, Boston, MA",3800,"3",42.3436039,-71.0876476
"248","23 Tetlow St # 11, Boston, MA",2650,"1",42.3374816,-71.099247
"249","Gainsborough St, Boston, MA",3300,"2",42.3417354,-71.0869126
"250","Edgerly Rd, Boston, MA",5150,"4",42.3450974,-71.0875452
"251","Huntington Ave, Boston, MA",2700,"3",42.3384957,-71.0938271
"252","Gainsborough St, Boston, MA",3300,"2",42.3417354,-71.0869126
"253","Fenway, Boston, MA",5800,"4",42.3428653,-71.1002881
"254","Huntington Ave, Boston, MA",2295,"2",42.3384957,-71.0938271
"255","Saint Stephen St, Boston, MA",2750,"1",42.3420086,-71.087324
"256","Huntington Ave, Boston, MA",2650,"2",42.3384957,-71.0938271
"257","Huntington Ave, Boston, MA",1895,"1",42.3384957,-71.0938271
"258","Clearway St, Boston, MA",4050,"3",42.3453309,-71.0859871
"259","Clearway St, Boston, MA",4050,"3",42.3453309,-71.0859871
"260","Riverway, Boston, MA",1825,"1",42.3365012,-71.1101831
"261","Fenway, Boston, MA",5000,"4",42.3428653,-71.1002881
"262","Massachusetts Ave, Boston, MA",2250,"1",42.4014728,-71.1370383
"263","Hemenway St, Boston, MA",1675,"1",42.3431955,-71.0901087
"264","39 Hemenway St APT 12, Boston, MA",1949,"1",42.3454226,-71.0894924
"265","445 Beacon St APT 2, Boston, MA",4500,"2",42.3511438,-71.0874766
"266","Stoneholm St, Boston, MA",2400,"1",42.3457209,-71.0884918
"267","Fenway, Boston, MA",1595,"1",42.3428653,-71.1002881
"268","44 Clearway St, CL #2",4050,"3",42.3452983,-71.0850683
"269","Hemenway St, Boston, MA",2675,"2",42.3431955,-71.0901087
"270","394 Riverway APT 4, Boston, MA",2700,"3",42.3321398,-71.112353
"271","Newbury St, Boston, MA",2895,"1",42.3491606,-71.0841329
"272","Symphony Rd, Boston, MA",3000,"2",42.343131,-71.0894669
"273","Gainsborough St, Boston, MA",3050,"2",42.3417354,-71.0869126
"274","Symphony Rd, Boston, MA",4420,"3",42.343131,-71.0894669
"275","Hemenway St, Boston, MA",2550,"2",42.3431955,-71.0901087
"276","Huntington Ave, Boston, MA",1595,"1",42.3384957,-71.0938271
"277","Huntington Ave, Boston, MA",2700,"2",42.3384957,-71.0938271
"278","Huntington Ave, Boston, MA",2295,"2",42.3384957,-71.0938271
"279","Fenway, Boston, MA",3800,"2",42.3428653,-71.1002881
"280","Huntington Ave, Boston, MA",2195,"2",42.3384957,-71.0938271
"281","362-366 Commonwealth Ave # 3H, Boston, MA",2875,"1",42.3489736,-71.0882215
"282","305 Huntington Ave # 5BA, Boston, MA",2600,"2",42.3412969,-71.0873678
"283","364 Riverway, Boston, MA",1575,"1",42.3332651,-71.1115055
"284","Massachusetts Ave, Boston, MA",1750,"1",42.4014728,-71.1370383
"285","Queensberry St, Boston, MA",1800,"1",42.3427542,-71.0973584
"286","56 Charlesgate E # B, Boston, MA",2350,"2",42.3471507,-71.0910777
"287","50 Charlesgate E # B, Boston, MA",2400,"2",42.3473497,-71.0913481
"288","Bay State Rd, Boston, MA",2600,"1",42.3504799,-71.1020279
"289","Commonwealth Ave, Boston, MA",2300,"2",42.3399704,-71.1670299
"290","Jersey St, Boston, MA",1950,"1",42.3432711,-71.0971962
"291","Park Dr, Boston, MA",1650,"1",42.342905,-71.1022129
"292","Commonwealth Ave, Boston, MA",1400,"1",42.3399704,-71.1670299
"293","Jersey St, Boston, MA",1950,"1",42.3432711,-71.0971962
"294","Queensberry St, Boston, MA",2050,"1",42.3427542,-71.0973584
"295","Boylston St, Boston, MA",1700,"1",42.3486464,-71.0827003
"296","1209 Boylston St APT 46, Boston, MA",1700,"1",42.3458135,-71.0947636
"297","Boylston St, Boston, MA",1700,"1",42.3486464,-71.0827003
"298","Queensberry St, Boston, MA",2025,"1",42.3427542,-71.0973584
"299","24 Peterborough St APT 16, Boston, MA",2350,"1",42.3439856,-71.0959596
"300","Commonwealth Ave, Boston, MA",1400,"1",42.3399704,-71.1670299
"301","Commonwealth Ave, Boston, MA",1800,"1",42.3399704,-71.1670299
"302","Peterborough St, Boston, MA",3100,"3",42.3432844,-71.0988906
"303","Peterborough St, Boston, MA",4200,"3",42.3432844,-71.0988906
"304","Peterborough St, Boston, MA",4300,"4",42.3432844,-71.0988906
"305","Commonwealth Ave, Boston, MA",1900,"1",42.3399704,-71.1670299
"306","33 Bay State Rd APT 1, Boston, MA",3900,"3",42.3499249,-71.09436
"307","Commonwealth Ave, Boston, MA",2500,"1",42.3399704,-71.1670299
"308","Beacon St, Boston, MA",2625,"2",42.3459906,-71.1068376
"309","Park Dr, Boston, MA",1625,"1",42.342905,-71.1022129
"310","Peterborough St, Boston, MA",3500,"3",42.3432844,-71.0988906
"311","Commonwealth Ave, Boston, MA",1400,"1",42.3399704,-71.1670299
"312","Miner St, Boston, MA",4020,"2",42.3460879,-71.1026802
"313","Park Dr, Boston, MA",1795,"1",42.342905,-71.1022129
"314","Beacon St, Boston, MA",1675,"1",42.3459906,-71.1068376
"315","Commonwealth Ave, Boston, MA",3100,"2",42.3399704,-71.1670299
"316","Commonwealth Ave, Boston, MA",1400,"1",42.3399704,-71.1670299
"317","Commonwealth Ave, Boston, MA",1800,"1",42.3399704,-71.1670299
"318","Commonwealth Ave, Boston, MA",2300,"2",42.3399704,-71.1670299
"319","464 Commonwealth Ave APT 47, Boston, MA",1500,"1",42.348628,-71.0930861
"320","82 Jersey St UNIT B2, Boston, MA",3200,"2",42.3440912,-71.0974212
"321","416 Commonwealth Ave APT 420, Boston, MA",4200,"2",42.348586,-71.091285
"322","Commonwealth Ave, Boston, MA",2600,"2",42.3399704,-71.1670299
"323","Bay State Rd, Boston, MA",1400,"1",42.3504799,-71.1020279
"324","Buswell St, Boston, MA",3950,"2",42.3475376,-71.1055671
"325","Beacon St, Boston, MA",2950,"1",42.3459906,-71.1068376
"326","Keswick St, Boston, MA",1575,"1",42.3457572,-71.1057457
"327","Queensberry St, Boston, MA",1800,"1",42.3427542,-71.0973584
"328","Park Dr, Boston, MA",1650,"1",42.342905,-71.1022129
"329","591 Beacon St APT 6, Boston, MA",2200,"1",42.3497914,-71.0933436
"330","Commonwealth Ave, Boston, MA",2700,"1",42.3399704,-71.1670299
"331","500 Park Dr APT 1A, Boston, MA",4500,"4",42.3471803,-71.1056574
"332","Boylston St, Boston, MA",2250,"1",42.3486464,-71.0827003
"333","223 Park Dr, Boston, MA",1700,"1",42.3419947,-71.1010038
"334","Park Dr, Boston, MA",1625,"1",42.342905,-71.1022129
"335","118 Riverway APT 35, Boston, MA",1950,"1",42.3433316,-71.1042314
"336","Commonwealth Ave, Boston, MA",2300,"2",42.3399704,-71.1670299
"337","Peterborough St, Boston, MA",3150,"2",42.3432844,-71.0988906
"338","51 Park Dr APT 7S, Boston, MA",2650,"2",42.3431923,-71.0950018
"339","Bay State Rd, Boston, MA",1900,"1",42.3504799,-71.1020279
"340","Park Dr, Boston, MA",2300,"2",42.342905,-71.1022129
"341","Beacon St, Boston, MA",1200,"1",42.3459906,-71.1068376
"342","Park Dr, Boston, MA",1625,"1",42.342905,-71.1022129
"343","Park Dr, Boston, MA",1700,"1",42.342905,-71.1022129
"344","Medfield St, Boston, MA",3200,"2",42.3454255,-71.1055779
"345","Queensberry St, Boston, MA",1675,"1",42.3427542,-71.0973584
"346","Park Dr, Boston, MA",1750,"1",42.342905,-71.1022129
"347","Newbury St, Boston, MA",1750,"1",42.3491606,-71.0841329
"348","Park Dr, Boston, MA",1795,"1",42.342905,-71.1022129
"349","Park Dr, Boston, MA",1800,"1",42.342905,-71.1022129
"350","Boylston St, Boston, MA",1835,"1",42.3486464,-71.0827003
"351","Boylston St, Boston, MA",1810,"1",42.3486464,-71.0827003
"352","Boylston St, Boston, MA",1810,"1",42.3486464,-71.0827003
"353","Boylston St, Boston, MA",2050,"1",42.3486464,-71.0827003
"354","85 Park Dr APT C, Boston, MA",1850,"2",42.3423097,-71.0962945
"355","Riverway, Boston, MA",1750,"1",42.3365012,-71.1101831
"356","Aberdeen St, Boston, MA",2650,"2",42.3464132,-71.1038432
"357","Peterborough St, Boston, MA",3200,"2",42.3432844,-71.0988906
"358","418 Commonwealth Ave # 210, Boston, MA",3100,"1",42.3486497,-71.0913753
"359","Park Dr, Boston, MA",2575,"2",42.342905,-71.1022129
"360","Park Dr, Boston, MA",2575,"2",42.342905,-71.1022129
"361","69 Park Dr APT 2, Boston, MA",2350,"1",42.3426522,-71.0954586
"362","Miner St, Boston, MA",3000,"1",42.3460879,-71.1026802
"363","Charlesgate W, Boston, MA",840,"1",42.349504,-71.092858
"364","Park Dr, Boston, MA",1800,"1",42.342905,-71.1022129
"365","17 Peterborough St, Boston, MA",2300,"2",42.344145,-71.095751
"366","Park Dr, Boston, MA",3500,"3",42.342905,-71.1022129
"367","Boylston St, Boston, MA",2195,"1",42.3486464,-71.0827003
"368","110 Peterborough St, Boston, MA",2150,"2",42.3427689,-71.099946
"369","Park Dr, Boston, MA",2800,"1",42.342905,-71.1022129
"370","106 Longwood Ave, Boston, MA",2700,"2",42.3407378,-71.1158943
"371","148 Park Dr, Boston, MA",2450,"1",42.3412718,-71.0980453
"372","Commonwealth Ave, Boston, MA",3900,"3",42.3399704,-71.1670299
"373","Commonwealth Ave, Boston, MA",2200,"1",42.3399704,-71.1670299
"374","Beacon St, Boston, MA",2100,"1",42.3459906,-71.1068376
